State,Area name,hs_diploma_up,Rank
VA,Grayson County,82.6,2592.5
AL,Geneva County,82.5,2603.0
GA,Long County,82.5,2603.0
NC,Martin County,82.5,2603.0
NC,Graham County,82.5,2603.0
NC,Anson County,82.5,2603.0
WV,Pocahontas County,82.5,2603.0
PR,Bayamn Municipio,82.5,2603.0
NC,Caswell County,82.5,2603.0
MS,Leflore County,82.5,2603.0
AL,Jackson County,82.5,2603.0
AL,Lamar County,82.5,2603.0
KY,Whitley County,82.5,2603.0
GA,Mitchell County,82.5,2603.0
KY,Lincoln County,82.4,2613.5
KY,Laurel County,82.4,2613.5
FL,Miami-Dade County,82.4,2613.5
GA,Taliaferro County,82.4,2613.5
AR,Woodruff County,82.4,2613.5
LA,Tangipahoa Parish,82.4,2613.5
LA,De Soto Parish,82.4,2613.5
AL,Monroe County,82.4,2613.5
MO,New Madrid County,82.3,2622.5
AR,St. Francis County,82.3,2622.5
AL,Walker County,82.3,2622.5
TN,Polk County,82.3,2622.5
PR,Dorado Municipio,82.3,2622.5
TX,Nolan County,82.3,2622.5
NC,Montgomery County,82.3,2622.5
TX,Mason County,82.3,2622.5
GA,Toombs County,82.3,2622.5
SC,Lee County,82.3,2622.5
CO,Prowers County,82.2,2632.5
TN,Hardeman County,82.2,2632.5
FL,Taylor County,82.2,2632.5
AL,Clarke County,82.2,2632.5
AR,Sharp County,82.2,2632.5
TN,Clay County,82.2,2632.5
GA,Wilcox County,82.2,2632.5
TX,Mitchell County,82.2,2632.5
VA,Accomack County,82.2,2632.5
GA,Jenkins County,82.2,2632.5
TX,Menard County,82.1,2642.5
MI,Oscoda County,82.1,2642.5
AZ,Apache County,82.1,2642.5
TX,Newton County,82.1,2642.5
WA,Douglas County,82.1,2642.5
GA,Hart County,82.1,2642.5
SC,Laurens County,82.1,2642.5
SC,Edgefield County,82.1,2642.5
NC,Wilson County,82.1,2642.5
TX,Anderson County,82.1,2642.5
TN,Claiborne County,82,2653.5
GA,Heard County,82,2653.5
VA,Scott County,82,2653.5
AR,Izard County,82,2653.5
KY,Powell County,82,2653.5
FL,Bradford County,82,2653.5
KY,Bath County,82,2653.5
MI,Lake County,82,2653.5
TN,Sequatchie County,82,2653.5
WV,Braxton County,82,2653.5
TN,Hickman County,82,2653.5
MS,Grenada County,82,2653.5
AK,Bethel Census Area,81.9,2664.5
TX,Harris County,81.9,2664.5
GA,Talbot County,81.9,2664.5
AR,Cross County,81.9,2664.5
GA,Polk County,81.9,2664.5
WV,Wirt County,81.9,2664.5
IN,Elkhart County,81.9,2664.5
NC,Sampson County,81.9,2664.5
KY,Russell County,81.9,2664.5
CA,Santa Barbara County,81.9,2664.5
FL,Putnam County,81.8,2677.0
PR,Gurabo Municipio,81.8,2677.0
VA,Russell County,81.8,2677.0
MO,Ripley County,81.8,2677.0
AR,Lee County,81.8,2677.0
GA,Madison County,81.8,2677.0
OK,Okfuskee County,81.8,2677.0
MO,Wayne County,81.8,2677.0
MS,Lawrence County,81.8,2677.0
GA,Ware County,81.8,2677.0
NM,Cibola County,81.8,2677.0
PR,Toa Baja Municipio,81.8,2677.0
MS,Choctaw County,81.8,2677.0
GA,Franklin County,81.8,2677.0
GA,Glascock County,81.8,2677.0
WV,Wayne County,81.7,2689.5
AR,Phillips County,81.7,2689.5
OK,Harmon County,81.7,2689.5
LA,Washington Parish,81.7,2689.5
MS,Walthall County,81.7,2689.5
AL,Chilton County,81.7,2689.5
TX,San Patricio County,81.7,2689.5
TX,San Saba County,81.7,2689.5
TX,Grimes County,81.7,2689.5
LA,Winn Parish,81.7,2689.5
AL,Escambia County,81.6,2700.0
GA,Brooks County,81.6,2700.0
VA,Carroll County,81.6,2700.0
MS,Claiborne County,81.6,2700.0
PR,Culebra Municipio,81.6,2700.0
LA,Red River Parish,81.6,2700.0
MO,Ozark County,81.6,2700.0
AL,Tallapoosa County,81.6,2700.0
MS,Kemper County,81.6,2700.0
KS,Stanton County,81.6,2700.0
TX,Jack County,81.6,2700.0
TN,Marion County,81.5,2710.5
KY,Metcalfe County,81.5,2710.5
TN,White County,81.5,2710.5
NC,Caldwell County,81.5,2710.5
SC,Hampton County,81.5,2710.5
OR,Malheur County,81.5,2710.5
AR,Poinsett County,81.5,2710.5
SC,Barnwell County,81.5,2710.5
TX,Tyler County,81.5,2710.5
LA,St. Bernard Parish,81.5,2710.5
TN,Jackson County,81.4,2718.5
KY,Fleming County,81.4,2718.5
TN,Hancock County,81.4,2718.5
WV,Ritchie County,81.4,2718.5
TN,Overton County,81.4,2718.5
ID,Lincoln County,81.4,2718.5
NC,Scotland County,81.3,2728.5
SC,Saluda County,81.3,2728.5
AL,Henry County,81.3,2728.5
TX,Wheeler County,81.3,2728.5
TX,Refugio County,81.3,2728.5
IA,Crawford County,81.3,2728.5
AL,Hale County,81.3,2728.5
TX,Matagorda County,81.3,2728.5
AL,Marion County,81.3,2728.5
LA,East Feliciana Parish,81.3,2728.5
GA,Brantley County,81.3,2728.5
MS,Wilkinson County,81.3,2728.5
GA,Cook County,81.3,2728.5
KY,Ohio County,81.3,2728.5
TN,Morgan County,81.2,2742.0
KS,Hamilton County,81.2,2742.0
MS,Coahoma County,81.2,2742.0
GA,Crawford County,81.2,2742.0
MS,Neshoba County,81.2,2742.0
AL,Crenshaw County,81.2,2742.0
AR,Lincoln County,81.2,2742.0
KS,Wyandotte County,81.2,2742.0
LA,Grant Parish,81.2,2742.0
OK,Marshall County,81.2,2742.0
GA,Butts County,81.2,2742.0
MS,Attala County,81.2,2742.0
MS,Smith County,81.2,2742.0
TX,San Augustine County,81.1,2757.5
CA,San Bernardino County,81.1,2757.5
CA,Yuba County,81.1,2757.5
WV,Lincoln County,81.1,2757.5
MS,Leake County,81.1,2757.5
MO,Crawford County,81.1,2757.5
NC,Wilkes County,81.1,2757.5
SD,Mellette County,81.1,2757.5
TX,Scurry County,81.1,2757.5
LA,St. Mary Parish,81.1,2757.5
MO,Stoddard County,81.1,2757.5
AR,Lafayette County,81.1,2757.5
LA,La Salle Parish,81.1,2757.5
LA,Concordia Parish,81.1,2757.5
LA,Terrebonne Parish,81.1,2757.5
KY,Nicholas County,81.1,2757.5
LA,Pointe Coupee Parish,81.1,2757.5
SD,Buffalo County,81.1,2757.5
NC,Lenoir County,81,2771.5
TX,Gray County,81,2771.5
OK,Adair County,81,2771.5
IN,Scott County,81,2771.5
MS,Washington County,81,2771.5
GA,Montgomery County,81,2771.5
NC,Surry County,81,2771.5
MS,Marshall County,81,2771.5
TN,Johnson County,81,2771.5
TX,Knox County,81,2771.5
MS,Wayne County,80.9,2780.0
TN,Van Buren County,80.9,2780.0
NC,Northampton County,80.9,2780.0
AR,Desha County,80.9,2780.0
MS,Alcorn County,80.9,2780.0
NM,De Baca County,80.9,2780.0
KY,Edmonson County,80.9,2780.0
KY,Green County,80.8,2791.5
NM,Curry County,80.8,2791.5
GA,Wilkes County,80.8,2791.5
GA,Charlton County,80.8,2791.5
LA,Lafourche Parish,80.8,2791.5
VA,Buckingham County,80.8,2791.5
FL,Dixie County,80.8,2791.5
KY,Larue County,80.8,2791.5
TX,Martin County,80.8,2791.5
KY,Butler County,80.8,2791.5
PR,Coamo Municipio,80.8,2791.5
VA,Henry County,80.8,2791.5
KY,Monroe County,80.8,2791.5
FL,Gadsden County,80.8,2791.5
TX,Dallas County,80.8,2791.5
KY,Carroll County,80.8,2791.5
GA,Hall County,80.7,2805.0
MS,Carroll County,80.7,2805.0
NM,Dona Ana County,80.7,2805.0
CO,Morgan County,80.7,2805.0
TX,Kleberg County,80.7,2805.0
NJ,Cumberland County,80.7,2805.0
LA,West Carroll Parish,80.7,2805.0
GA,Webster County,80.7,2805.0
IL,Brown County,80.7,2805.0
TX,Jones County,80.7,2805.0
TX,Atascosa County,80.7,2805.0
CA,Del Norte County,80.6,2813.5
TX,Shelby County,80.6,2813.5
AL,Choctaw County,80.6,2813.5
TN,DeKalb County,80.6,2813.5
FL,Okeechobee County,80.6,2813.5
TX,Jackson County,80.6,2813.5
AL,Bibb County,80.5,2821.0
GA,Berrien County,80.5,2821.0
GA,Habersham County,80.5,2821.0
TX,Wharton County,80.5,2821.0
FL,Holmes County,80.5,2821.0
GA,Clay County,80.5,2821.0
TX,Cherokee County,80.5,2821.0
TX,McCulloch County,80.5,2821.0
TX,Howard County,80.5,2821.0
GA,Twiggs County,80.4,2829.5
MO,Washington County,80.4,2829.5
FL,Madison County,80.4,2829.5
TX,Polk County,80.4,2829.5
KY,Rockcastle County,80.4,2829.5
CA,San Joaquin County,80.4,2829.5
SC,Marion County,80.4,2829.5
MS,Bolivar County,80.4,2829.5
TN,Fentress County,80.3,2837.0
WV,Logan County,80.3,2837.0
WV,Roane County,80.3,2837.0
OH,Vinton County,80.3,2837.0
PR,Las Piedras Municipio,80.3,2837.0
WA,Grant County,80.3,2837.0
GA,Pulaski County,80.3,2837.0
AR,Searcy County,80.2,2845.0
LA,Acadia Parish,80.2,2845.0
NC,Bertie County,80.2,2845.0
NE,Saline County,80.2,2845.0
GA,Early County,80.2,2845.0
GA,Emanuel County,80.2,2845.0
MS,Panola County,80.2,2845.0
NV,Esmeralda County,80.2,2845.0
AL,Randolph County,80.2,2845.0
SC,Chesterfield County,80.1,2853.0
WV,Clay County,80.1,2853.0
LA,Morehouse Parish,80.1,2853.0
TN,Campbell County,80.1,2853.0
AR,Johnson County,80.1,2853.0
TX,Caldwell County,80.1,2853.0
TX,Navarro County,80.1,2853.0
GA,Dooly County,80,2859.5
CA,Los Angeles County,80,2859.5
CA,Stanislaus County,80,2859.5
KY,Fulton County,80,2859.5
CA,Lassen County,80,2859.5
NC,Halifax County,80,2859.5
AR,Scott County,79.9,2865.5
TN,Scott County,79.9,2865.5
TN,Grainger County,79.9,2865.5
MO,Mississippi County,79.9,2865.5
VA,Dickenson County,79.9,2865.5
LA,Iberville Parish,79.9,2865.5
VA,Lee County,79.8,2874.5
TX,Crockett County,79.8,2874.5
MS,Sharkey County,79.8,2874.5
TX,El Paso County,79.8,2874.5
VA,Buena Vista city,79.8,2874.5
VA,Lunenburg County,79.8,2874.5
GA,Grady County,79.8,2874.5
VA,Sussex County,79.8,2874.5
NM,Chaves County,79.8,2874.5
SC,Marlboro County,79.8,2874.5
NY,Hamilton County,79.8,2874.5
AL,Cherokee County,79.8,2874.5
NC,Duplin County,79.7,2884.0
TN,Macon County,79.7,2884.0
MO,Pemiscot County,79.7,2884.0
GA,Turner County,79.7,2884.0
GA,Jefferson County,79.7,2884.0
LA,Allen Parish,79.7,2884.0
SC,Clarendon County,79.7,2884.0
MS,Adams County,79.6,2890.5
TX,Houston County,79.6,2890.5
KY,Cumberland County,79.6,2890.5
ID,Camas County,79.6,2890.5
VA,Manassas Park city,79.6,2890.5
CA,Sutter County,79.6,2890.5
GA,Jeff Davis County,79.5,2898.5
PR,Jayuya Municipio,79.5,2898.5
TN,Lauderdale County,79.5,2898.5
KY,Carter County,79.5,2898.5
AK,Kusilvak Census Area,79.5,2898.5
AL,Franklin County,79.5,2898.5
TX,Falls County,79.5,2898.5
MO,Scotland County,79.5,2898.5
PR,Hormigueros Municipio,79.5,2898.5
ID,Power County,79.5,2898.5
IA,Davis County,79.4,2906.0
MS,Simpson County,79.4,2906.0
NC,Alleghany County,79.4,2906.0
GA,Meriwether County,79.4,2906.0
IA,Buena Vista County,79.4,2906.0
AL,Winston County,79.3,2910.0
TN,Pickett County,79.3,2910.0
GA,Elbert County,79.3,2910.0
GA,Terrell County,79.2,2914.0
MO,Dunklin County,79.2,2914.0
PR,Aibonito Municipio,79.2,2914.0
AL,Wilcox County,79.2,2914.0
TX,Titus County,79.2,2914.0
TN,Union County,79.1,2920.5
NM,McKinley County,79.1,2920.5
ID,Minidoka County,79.1,2920.5
MO,Morgan County,79.1,2920.5
KS,Grant County,79.1,2920.5
GA,Randolph County,79.1,2920.5
TX,Bee County,79.1,2920.5
KY,Todd County,79.1,2920.5
OK,Tillman County,79,2926.5
GA,Echols County,79,2926.5
TX,Lynn County,79,2926.5
PR,Humacao Municipio,79,2926.5
KY,Pike County,78.9,2932.0
TX,Jim Wells County,78.9,2932.0
FL,Franklin County,78.9,2932.0
MS,Pontotoc County,78.9,2932.0
TX,Haskell County,78.9,2932.0
MS,Tishomingo County,78.9,2932.0
GA,Irwin County,78.9,2932.0
WV,Webster County,78.8,2937.5
MN,Nobles County,78.8,2937.5
AR,Monroe County,78.8,2937.5
SC,Dillon County,78.8,2937.5
TX,Ward County,78.7,2941.5
LA,Richland Parish,78.7,2941.5
VA,Galax city,78.7,2941.5
SD,Todd County,78.7,2941.5
PR,Guayama Municipio,78.6,2945.5
AL,Perry County,78.6,2945.5
NC,Hyde County,78.6,2945.5
PR,Villalba Municipio,78.6,2945.5
PR,Florida Municipio,78.5,2949.0
MS,Jefferson County,78.5,2949.0
TX,Wilbarger County,78.5,2949.0
TX,Edwards County,78.4,2952.5
MS,Calhoun County,78.4,2952.5
VA,Brunswick County,78.4,2952.5
AR,Chicot County,78.4,2952.5
TX,Madison County,78.3,2955.5
LA,St. Landry Parish,78.3,2955.5
AL,DeKalb County,78.2,2958.5
MS,Union County,78.2,2958.5
TN,Grundy County,78.2,2958.5
PR,Ponce Municipio,78.2,2958.5
GA,Candler County,78.1,2963.5
MS,Tallahatchie County,78.1,2963.5
MO,McDonald County,78.1,2963.5
TX,Liberty County,78.1,2963.5
PR,Luquillo Municipio,78.1,2963.5
VA,Wise County,78.1,2963.5
KY,Hart County,78,2968.5
KY,Clinton County,78,2968.5
PR,Arecibo Municipio,78,2968.5
GA,Tattnall County,78,2968.5
KY,McCreary County,77.9,2974.0
LA,Claiborne Parish,77.9,2974.0
PR,Yauco Municipio,77.9,2974.0
CA,Fresno County,77.9,2974.0
MS,Tippah County,77.9,2974.0
NC,Robeson County,77.9,2974.0
NE,Dakota County,77.9,2974.0
MS,Scott County,77.8,2980.5
GA,Appling County,77.8,2980.5
MO,Reynolds County,77.8,2980.5
LA,Tensas Parish,77.8,2980.5
KY,Perry County,77.8,2980.5
VA,Richmond County,77.8,2980.5
KS,Kearny County,77.7,2987.5
PR,Ro Grande Municipio,77.7,2987.5
TN,Perry County,77.7,2987.5
PR,Canvanas Municipio,77.7,2987.5
FL,Calhoun County,77.7,2987.5
PR,Cidra Municipio,77.7,2987.5
MS,Montgomery County,77.7,2987.5
AZ,Santa Cruz County,77.7,2987.5
AL,Bullock County,77.6,2995.0
NC,Greene County,77.6,2995.0
MS,Holmes County,77.6,2995.0
PR,Patillas Municipio,77.6,2995.0
NE,Dawson County,77.6,2995.0
KS,Gray County,77.6,2995.0
SC,Bamberg County,77.6,2995.0
KY,Breathitt County,77.5,3000.0
PR,Cayey Municipio,77.5,3000.0
PR,Juana Daz Municipio,77.5,3000.0
OR,Morrow County,77.4,3004.5
WV,Wyoming County,77.4,3004.5
FL,Union County,77.4,3004.5
MS,Greene County,77.4,3004.5
LA,St. Helena Parish,77.4,3004.5
AR,Yell County,77.4,3004.5
MS,Noxubee County,77.3,3008.0
GA,Evans County,77.2,3011.0
GA,Coffee County,77.2,3011.0
KY,Wayne County,77.2,3011.0
TX,Crosby County,77.2,3011.0
ID,Gooding County,77.2,3011.0
KY,Lewis County,77.1,3015.5
VA,Greensville County,77.1,3015.5
PR,Guayanilla Municipio,77.1,3015.5
KY,Floyd County,77.1,3015.5
KY,Letcher County,77,3019.0
GA,Marion County,77,3019.0
FL,Liberty County,77,3019.0
GA,Banks County,76.9,3024.0
PR,Catao Municipio,76.9,3024.0
PR,Salinas Municipio,76.9,3024.0
TX,Sutton County,76.9,3024.0
PR,Naguabo Municipio,76.9,3024.0
KY,Morgan County,76.9,3024.0
IN,Daviess County,76.9,3024.0
LA,Franklin Parish,76.8,3028.5
LA,Assumption Parish,76.8,3028.5
TX,Live Oak County,76.7,3031.5
LA,Caldwell Parish,76.7,3031.5
GA,Gordon County,76.7,3031.5
KY,Menifee County,76.7,3031.5
GA,Calhoun County,76.6,3035.5
TX,Ochiltree County,76.6,3035.5
MS,Chickasaw County,76.6,3035.5
PR,Arroyo Municipio,76.6,3035.5
TX,Potter County,76.5,3041.0
TX,Hockley County,76.5,3041.0
KY,Lawrence County,76.5,3041.0
TN,Bledsoe County,76.5,3041.0
LA,Avoyelles Parish,76.5,3041.0
CA,Glenn County,76.5,3041.0
TX,King County,76.5,3041.0
GA,Colquitt County,76.4,3046.5
PR,Hatillo Municipio,76.4,3046.5
TX,Ector County,76.4,3046.5
TX,Gonzales County,76.4,3046.5
SC,Allendale County,76.3,3050.5
TX,Castro County,76.3,3050.5
ID,Jerome County,76.3,3050.5
MS,Humphreys County,76.3,3050.5
FL,Hardee County,76.2,3055.0
NM,Lea County,76.2,3055.0
NC,Tyrrell County,76.2,3055.0
TX,Lamb County,76.2,3055.0
GA,Taylor County,76.2,3055.0
PR,Vega Baja Municipio,76.1,3059.0
KY,Knox County,76.1,3059.0
MS,Sunflower County,76.1,3059.0
TX,Andrews County,76,3063.0
MS,Yazoo County,76,3063.0
TX,Upton County,76,3063.0
PR,Loza Municipio,76,3063.0
CA,Kern County,76,3063.0
WA,Franklin County,75.9,3067.0
FL,Hamilton County,75.9,3067.0
PR,Juncos Municipio,75.9,3067.0
AL,Barbour County,75.7,3070.0
TX,Foard County,75.7,3070.0
WV,Mingo County,75.7,3070.0
TX,Crane County,75.6,3072.5
TX,Zavala County,75.6,3072.5
PR,Manat Municipio,75.5,3074.5
TX,Glasscock County,75.5,3074.5
PR,Vega Alta Municipio,75.4,3076.5
LA,Madison Parish,75.4,3076.5
KY,Bell County,75.3,3078.5
PR,Sabana Grande Municipio,75.3,3078.5
GA,Treutlen County,75.2,3082.5
PR,Ceiba Municipio,75.2,3082.5
TX,Concho County,75.2,3082.5
GA,Johnson County,75.2,3082.5
PR,Barranquitas Municipio,75.2,3082.5
TX,Hale County,75.2,3082.5
PR,Aguadilla Municipio,75.1,3087.0
KS,Ford County,75.1,3087.0
KY,Elliott County,75.1,3087.0
LA,Evangeline Parish,75,3090.0
TX,Karnes County,75,3090.0
TX,Pecos County,75,3090.0
AZ,Yuma County,74.9,3093.0
KY,Harlan County,74.9,3093.0
ID,Owyhee County,74.9,3093.0
FL,DeSoto County,74.7,3095.5
TX,Uvalde County,74.7,3095.5
MS,Quitman County,74.6,3097.5
WV,McDowell County,74.6,3097.5
TX,Collingsworth County,74.5,3101.0
KY,Casey County,74.5,3101.0
PR,Quebradillas Municipio,74.5,3101.0
PR,Barceloneta Municipio,74.5,3101.0
VA,Emporia city,74.5,3101.0
MS,Benton County,74.4,3104.0
PR,Peuelas Municipio,74.3,3106.0
GA,Clinch County,74.3,3106.0
KY,Estill County,74.3,3106.0
TX,Deaf Smith County,74.2,3108.0
PR,Aguas Buenas Municipio,74.1,3109.5
NY,Bronx County,74.1,3109.5
PR,Isabela Municipio,73.9,3112.0
KS,Stevens County,73.9,3112.0
PR,Morovis Municipio,73.9,3112.0
PR,Cabo Rojo Municipio,73.8,3114.0
WA,Yakima County,73.7,3116.0
KY,Martin County,73.7,3116.0
VA,Buchanan County,73.7,3116.0
PR,Utuado Municipio,73.6,3120.5
TN,Lake County,73.6,3120.5
FL,Lafayette County,73.6,3120.5
CA,Kings County,73.6,3120.5
TX,Floyd County,73.6,3120.5
PR,Maunabo Municipio,73.6,3120.5
AR,Sevier County,73.5,3124.0
NE,Colfax County,73.4,3125.5
CA,Colusa County,73.4,3125.5
SD,Oglala Lakota County,73.3,3127.5
TX,Parmer County,73.3,3127.5
PR,Rincn Municipio,73.2,3129.5
OK,Texas County,73.2,3129.5
PR,Yabucoa Municipio,73.1,3131.0
CA,Monterey County,73,3133.5
TX,Terry County,73,3133.5
KY,Lee County,73,3133.5
PR,Vieques Municipio,73,3133.5
LA,Catahoula Parish,72.9,3138.0
TX,Swisher County,72.9,3138.0
TX,Yoakum County,72.9,3138.0
TX,Jim Hogg County,72.9,3138.0
GA,Wheeler County,72.9,3138.0
TX,Hansford County,72.7,3141.5
GA,Murray County,72.7,3141.5
PR,Camuy Municipio,72.6,3144.0
CA,Tulare County,72.6,3144.0
MT,Liberty County,72.6,3144.0
PR,Corozal Municipio,72.5,3146.5
GA,Macon County,72.5,3146.5
KS,Haskell County,72.4,3148.0
PR,San Lorenzo Municipio,72.3,3150.0
GA,Whitfield County,72.3,3150.0
TX,Duval County,72.3,3150.0
PR,Comero Municipio,72.2,3152.5
PR,Mayagez Municipio,72.2,3152.5
KY,Magoffin County,72.1,3154.5
GA,Chattooga County,72.1,3154.5
TX,Bailey County,71.9,3156.5
CA,Madera County,71.9,3156.5
KS,Finney County,71.8,3158.5
TX,Winkler County,71.8,3158.5
TX,Sherman County,71.6,3160.0
GA,Warren County,71.5,3161.0
KY,Jackson County,71.4,3162.0
PR,Naranjito Municipio,71.3,3163.0
PR,Aasco Municipio,71.1,3164.0
PR,San Germn Municipio,70.9,3166.5
GA,Stewart County,70.9,3166.5
TX,Dawson County,70.9,3166.5
TX,Val Verde County,70.9,3166.5
NM,Luna County,70.7,3169.0
CA,Imperial County,70.5,3170.5
TX,Reeves County,70.5,3170.5
GA,Telfair County,70.4,3173.5
KY,Knott County,70.4,3173.5
CA,Merced County,70.4,3173.5
KS,Seward County,70.4,3173.5
PR,Gunica Municipio,70.3,3176.5
TX,Dallam County,70.3,3176.5
PR,Moca Municipio,70.2,3178.0
PR,Orocovis Municipio,70.1,3179.0
TX,Cameron County,69.5,3180.5
PR,San Sebastin Municipio,69.5,3180.5
FL,Glades County,69.4,3182.5
FL,Hendry County,69.4,3182.5
GA,Hancock County,69,3184.0
GA,Quitman County,68.9,3185.0
TX,La Salle County,68.8,3186.5
TX,Webb County,68.8,3186.5
TX,Dimmit County,68.6,3188.0
WA,Adams County,68.5,3190.5
KY,Owsley County,68.5,3190.5
TX,Brooks County,68.5,3190.5
TX,Willacy County,68.5,3190.5
TX,Zapata County,68.3,3193.5
KY,Clay County,68.3,3193.5
TX,Cochran County,67.5,3195.0
TX,Hidalgo County,67.4,3196.0
PR,Lajas Municipio,67.1,3197.5
TX,Moore County,67.1,3197.5
PR,Lares Municipio,67,3199.5
PR,Ciales Municipio,67,3199.5
GA,Atkinson County,66.8,3201.0
PR,Aguada Municipio,66.4,3202.0
TX,Garza County,66.2,3203.0
KY,Wolfe County,66,3204.0
LA,East Carroll Parish,65.6,3205.0
TX,Frio County,65.5,3206.0
ID,Clark County,65.3,3207.0
PR,Adjuntas Municipio,65.1,3208.0
TX,Culberson County,63.7,3209.0
TX,Maverick County,63.5,3210.0
PR,Las Maras Municipio,63.4,3211.0
TX,Gaines County,61.6,3212.0
IN,LaGrange County,59.6,3213.0
MS,Issaquena County,59.5,3214.0
PR,Maricao Municipio,58.8,3215.5
TX,Starr County,58.8,3215.5
OH,Holmes County,56.5,3217.0
TX,Presidio County,52.1,3218.0
TX,Hudspeth County,49.6,3219.0
TX,Kenedy County,18.5,3220.0
MT,Yellowstone National Park,0,3226.0
AK,Kuskokwim Division,0,3226.0
VA,Bedford city,0,3226.0
AK,Aleutian Islands,0,3226.0
AK,Prince of Wales-Outer Ketchikan Census Area,0,3226.0
AK,Skagway-Yakutat-Angoon Census Area,0,3226.0
AK,Skagway-Hoonah-Angoon Census Area,0,3226.0
AK,Upper Yukon Division,0,3226.0
AK,Wrangell-Petersburg Census Area,0,3226.0
VA,Clifton Forge city,0,3226.0
AK,Valdez-Cordova Census Area,0,3226.0
